,eventID,groupID,RP_hit_in_group,Max_line_no
10236,20004970,5,3,1
10251,20004979,1,3,1
10270,20004988,5,3,1
10281,20004993,2,3,1
10285,20004995,1,3,1
10308,20005006,3,3,1
10368,20005036,2,3,1
10378,20005042,4,3,1
10408,20005058,5,3,1
10471,20005088,2,3,1
10481,20005093,4,3,1
10488,20005097,4,3,1
10494,20005100,4,3,1
10500,20005103,2,3,1
10508,20005107,2,3,4
10525,20005116,5,3,1
10592,20005149,5,3,1
10606,20005157,1,3,1
10681,20005192,4,3,1
10691,20005197,5,3,1
10697,20005200,4,3,1
10708,20005206,2,3,1
10744,20005224,1,3,1
10762,20005232,2,3,3
10771,20005236,2,3,1
10806,20005252,2,3,1
10812,20005255,1,3,2
10820,20005258,1,3,1
10822,20005258,6,3,1
10862,20005279,2,3,1
10925,20005311,2,3,1
10928,20005312,4,3,1
10936,20005315,4,3,1
10950,20005322,2,3,1
10956,20005326,1,3,1
10957,20005326,5,3,1
10993,20005343,2,3,1
11014,20005353,5,3,1
11023,20005358,1,3,1
11024,20005358,5,3,1
11042,20005369,4,3,4
11043,20005369,5,3,4
11060,20005377,1,3,1
11068,20005381,2,3,1
11073,20005383,2,3,1
11158,20005422,4,3,3
11210,20005448,5,3,1
11211,20005449,1,3,1
11226,20005456,2,3,2
11250,20005468,1,3,1
11260,20005473,1,3,1
11290,20005488,4,3,1
11304,20005494,4,3,1
11308,20005496,2,3,1
11312,20005498,2,3,1
11313,20005498,4,3,2
11359,20005519,1,3,1
11412,20005544,5,3,1
11425,20005549,2,3,1
11434,20005553,5,3,1
11442,20005557,5,3,1
11450,20005561,2,3,1
11461,20005566,1,3,1
11463,20005566,6,3,3
11466,20005568,1,3,1
11475,20005572,4,3,2
11564,20005614,1,3,1
11614,20005638,2,3,1
11617,20005639,5,3,1
11619,20005640,5,3,1
11653,20005655,5,3,1
11698,20005674,2,3,1
11720,20005687,1,3,2
11721,20005687,5,3,1
11742,20005699,2,3,1
11773,20005714,2,3,7
11774,20005714,3,3,2
11798,20005725,4,3,1
11847,20005749,1,3,1
11859,20005755,4,3,1
11872,20005762,1,3,2
11907,20005777,5,3,3
11919,20005784,2,3,1
11947,20005797,2,3,1
11965,20005806,1,3,1
11997,20005825,2,3,1
12019,20005836,2,3,2
12029,20005841,2,3,1
12071,20005860,5,3,1
12090,20005868,2,3,2
12128,20005885,4,3,1
12200,20005920,5,3,1
12218,20005928,5,3,1
12220,20005929,5,3,2
12237,20005939,2,3,1
12254,20005947,5,3,1
12282,20005961,2,3,1
12321,20005980,4,3,1
12322,20005981,1,3,1
12370,20006007,1,3,1
12411,20006029,2,3,1
12426,20006036,5,3,1
12449,20006048,2,3,1
12460,20006054,1,3,1
12461,20006054,5,3,1
12474,20006061,1,3,1
12478,20006062,2,3,1
12480,20006063,2,3,1
12517,20006081,4,3,1
12535,20006089,4,3,1
12578,20006110,4,3,4
12610,20006128,1,3,1
12661,20006153,2,3,1
12674,20006159,5,3,1
12683,20006164,2,3,1
12694,20006169,5,3,3
12722,20006183,4,3,2
12723,20006183,5,3,1
12741,20006193,2,3,1
12799,20006223,1,3,1
12856,20006250,4,3,2
12869,20006255,5,3,1
12884,20006261,2,3,1
12887,20006262,1,3,1
12949,20006292,2,3,1
12951,20006293,1,3,1
12964,20006298,2,3,1
13024,20006327,2,3,1
13120,20006373,1,3,1
13128,20006376,2,3,1
13140,20006381,2,3,2
13149,20006385,5,3,1
13224,20006423,5,3,1
13225,20006424,2,3,2
13227,20006425,1,3,2
13232,20006427,4,3,5
13250,20006437,5,3,1
13306,20006464,4,3,1
13309,20006466,1,3,1
13310,20006466,5,3,1
13313,20006468,2,3,1
13337,20006480,1,3,1
13378,20006501,2,3,1
13393,20006508,1,3,1
13466,20006549,2,3,1
13500,20006564,4,3,1
13521,20006574,5,3,1
13557,20006592,5,3,1
13562,20006595,2,3,1
13621,20006624,5,3,1
13741,20006684,5,3,1
13783,20006705,4,3,4
13800,20006713,1,3,1
13803,20006714,4,3,4
13849,20006736,1,3,1
13859,20006740,2,3,1
13896,20006756,5,3,1
13944,20006780,1,3,1
13946,20006781,2,3,1
13981,20006799,1,3,2
13987,20006802,1,3,1
13989,20006803,1,3,1
14049,20006830,4,3,1
14060,20006837,1,3,1
14072,20006842,4,3,1
14084,20006848,5,3,1
14120,20006866,1,3,1
14126,20006869,1,3,1
14153,20006881,2,3,1
14177,20006891,1,3,1
14203,20006902,1,3,1
14244,20006922,1,3,1
14261,20006932,5,3,1
14265,20006934,5,3,1
14299,20006950,5,3,1
14300,20006951,2,3,1
14316,20006959,1,3,1
14345,20006972,2,3,1
14349,20006974,1,3,1
14353,20006976,2,3,1
14372,20006985,2,3,2
14407,20007003,2,3,1
14464,20007031,2,3,1
14504,20007051,5,3,2
14515,20007057,1,3,1
14524,20007061,2,3,1
