,recoID,eventID,groupID,x,y,z,dx,dy,dz,exec_time[s],dist_max,dist_sum,dist_avg,chi2,chi2_N,dx_dz_angle [mrad],dy_dz_angle [mrad],tracks_in_det_no,tracks_out_det_no,track_type,trackID
11,100,20000188,2,-0.409626671948,-7.9066231558,-212980.0,-8.19214561505e-06,-0.000158132091271,-0.999999987464,0.025967121124267578,0.127375694568,1.19271611183,0.0411281417874,40.2504748317,1.67710311799,0.00819214571757,0.158132091935,29,0,_11_1X1_3RP_1X1,0
12,100,20000203,5,-0.231056920882,-9.42347730691,212980.0,-4.62074121208e-06,-0.000188469150965,0.999999982229,0.03285384178161621,0.0399392733944,0.302215042203,0.0159060548528,3.29536985222,0.235383560873,-0.00462074129416,-0.188469152083,19,0,_12_1X1_3RP_MORE,0
13,100,20000207,2,-0.186606666282,-8.03333465973,-212980.0,-3.73174574368e-06,-0.000160666321169,-0.999999987086,0.02482914924621582,0.140736882644,0.744628462407,0.0256768435313,20.2607484736,0.844197853068,0.00373174579185,0.160666321861,29,0,_11_1X1_3RP_1X1,0
14,100,20000210,4,0.560002491117,9.87668015739,212980.0,1.12004379139e-05,0.000197533982018,0.999999980427,0.03885698318481445,0.0692818359656,0.520140417896,0.0273758114682,9.99934142629,0.714238673306,0.0112004381327,0.197533983315,19,0,_12_1X1_3RP_MORE,0
15,100,20000225,1,0.292912868118,7.48582433877,-212980.0,5.90327991508e-06,0.000151593515975,-0.999999988492,0.06190991401672363,0.129515293194,0.88057927873,0.0314492599546,24.1199090076,1.04869169598,-0.00590327998295,-0.151593516559,28,0,_11_1X1_3RP_1X1,0
16,100,20000230,5,0.135159154165,-9.2413499647,212980.0,2.70357104121e-06,-0.000184826620245,0.999999982916,0.032569169998168945,0.310482118833,1.8237051296,0.0569907852999,148.761001202,5.50966671119,0.00270357108739,-0.184826621298,32,0,_11_1X1_3RP_1X1,0
17,100,20000254,5,0.119945920193,-9.59448112268,212980.0,2.3993152126e-06,-0.000191889226948,0.999999981586,0.04032301902770996,0.0408913617101,0.313083026476,0.0164780540251,3.73805198029,0.267003712878,0.00239931525678,-0.191889228126,19,0,_12_1X1_3RP_MORE,0
18,100,20000269,4,-0.259758647113,12.6821541718,212980.0,-5.09979055789e-06,0.000253521575086,0.99999996785,0.05118989944458008,0.0751616917463,0.739003204834,0.0238388130591,13.4364959508,0.516788305801,-0.0050997907218,0.253521577805,31,0,_11_1X1_3RP_1X1,0
19,100,20000270,2,-0.296010577792,-13.3124776389,-212980.0,-5.91982363309e-06,-0.000266249169486,-0.999999964538,0.024183988571166992,0.0879766322922,0.640377028663,0.0220819665056,12.0810350839,0.50337646183,0.00591982384295,0.266249172636,29,0,_11_1X1_3RP_1X1,0
20,100,20000270,4,-0.414781861471,13.0077299271,212980.0,-8.38396547602e-06,0.000262033743194,0.999999965634,0.05940103530883789,0.144963641266,1.57886741567,0.0526289138557,79.85063243,3.1940252972,-0.00838396576394,0.262033746202,30,0,_11_1X1_3RP_1X1,0
21,100,20000287,5,3.96785914912,-8.38682623702,212980.0,7.93575651243e-05,-0.000167736150949,0.999999982783,0.38856399059295654,1.14371320495,13.9566221536,0.465220738452,5664.78232887,226.591293155,0.079357566324,-0.167736152263,30,0,_21_2X2_3RP_ENOUGH,0
